date,adj_close,close,high,low,open,volume,symbol
2021-05-05,866.62646484375,886.1258544921875,894.617431640625,880.5647583007812,887.625732421875,12393609,RELIANCE_NS
2021-05-06,871.5460815429688,891.1561889648438,893.002197265625,879.8955688476562,886.9334716796875,14624666,RELIANCE_NS
2021-05-07,871.8846435546875,891.5023193359375,902.5321655273438,888.8486938476562,894.2713012695312,12288548,RELIANCE_NS
2021-05-10,869.3795776367188,888.9409790039062,898.4478759765625,886.5181274414062,894.8482055664062,13941237,RELIANCE_NS
2021-05-11,872.5165405273438,892.1484375,894.6405029296875,881.4646606445312,883.772216796875,13478264,RELIANCE_NS
2021-05-12,863.4895629882812,882.9183959960938,892.0330200195312,880.0802001953125,890.7408447265625,13177961,RELIANCE_NS
2021-05-14,874.3895874023438,894.0636596679688,896.232666015625,879.6187133789062,889.7947387695312,13291616,RELIANCE_NS
2021-05-17,884.7930297851562,904.7012329101562,906.1318359375,890.8792724609375,894.0636596679688,11873078,RELIANCE_NS
2021-05-18,897.2501220703125,917.4385986328125,924.1995849609375,910.3084106445312,914.231201171875,12064918,RELIANCE_NS
2021-05-19,901.357421875,921.6382446289062,930.5913696289062,910.0776977539062,913.7696533203125,16317002,RELIANCE_NS
2021-05-20,896.0992431640625,916.2617797851562,928.030029296875,914.231201171875,922.030517578125,11422532,RELIANCE_NS
2021-05-21,903.8397216796875,924.176513671875,927.4300537109375,916.5386962890625,919.3076782226562,10785605,RELIANCE_NS
2021-05-24,896.2119750976562,916.3771362304688,927.5223999023438,914.6926879882812,926.691650390625,8551760,RELIANCE_NS
2021-05-25,886.0568237304688,905.993408203125,921.6151733398438,904.5396728515625,921.3382568359375,14780102,RELIANCE_NS
2021-05-26,889.171142578125,909.177734375,913.5389404296875,906.9856567382812,911.462158203125,7480204,RELIANCE_NS
2021-05-27,891.9017944335938,911.9698486328125,919.7691650390625,905.5780639648438,909.2931518554688,26819294,RELIANCE_NS
2021-05-28,945.476318359375,966.7498779296875,971.4571533203125,918.3847045898438,918.3847045898438,56469931,RELIANCE_NS
2021-05-31,975.0393676757812,996.9780883789062,1011.4691772460938,962.250244140625,970.0726318359375,59124142,RELIANCE_NS
2021-06-01,978.9208984375,1000.947021484375,1016.22265625,990.609375,999.608642578125,28013832,RELIANCE_NS
2021-06-02,993.5218505859375,1015.8765258789062,1019.6838989257812,995.4551391601562,995.4551391601562,24630162,RELIANCE_NS
2021-06-03,997.3131713867188,1019.7531127929688,1038.3746337890625,1013.4998168945312,1024.9910888671875,23974257,RELIANCE_NS
2021-06-04,988.6699829101562,1010.9154052734375,1022.8912963867188,1008.031005859375,1022.1298217773438,14468646,RELIANCE_NS
2021-06-07,1005.3245239257812,1027.9447021484375,1034.6826171875,1008.3771362304688,1016.22265625,16336573,RELIANCE_NS
2021-06-08,999.54736328125,1022.0375366210938,1027.829345703125,1014.4458618164062,1027.5755615234375,9674735,RELIANCE_NS
2021-06-09,981.6741333007812,1003.7621459960938,1024.9910888671875,995.8935546875,1024.068115234375,11409161,RELIANCE_NS
2021-06-10,985.2847900390625,1007.4541625976562,1029.1446533203125,1004.93896484375,1012.2537231445312,14155653,RELIANCE_NS
2021-06-11,1002.3753051757812,1021.3683471679688,1028.2216796875,1006.1157836914062,1007.4080200195312,13762778,RELIANCE_NS
2021-06-14,1016.7553100585938,1036.02099609375,1042.1820068359375,1013.0151977539062,1022.22216796875,20332436,RELIANCE_NS
2021-06-15,1019.0654296875,1038.3746337890625,1049.865966796875,1033.8980712890625,1043.451171875,15174215,RELIANCE_NS
2021-06-16,1001.6732177734375,1020.6530151367188,1037.01318359375,1017.9993896484375,1036.02099609375,10797349,RELIANCE_NS
2021-06-17,1003.507568359375,1022.5220947265625,1031.4521484375,1006.0234985351562,1015.2996215820312,15745975,RELIANCE_NS
2021-06-18,1008.0367431640625,1027.1370849609375,1031.4521484375,1008.0771484375,1027.06787109375,29369026,RELIANCE_NS
2021-06-21,1013.2905883789062,1032.490478515625,1037.2208251953125,1015.368896484375,1016.9149169921875,12186448,RELIANCE_NS
2021-06-22,1008.0820922851562,1027.1832275390625,1043.451171875,1024.2296142578125,1040.2205810546875,12871913,RELIANCE_NS
2021-06-23,998.842529296875,1017.7686767578125,1038.6514892578125,1016.0841674804688,1038.3746337890625,16653951,RELIANCE_NS
2021-06-24,975.3587036132812,993.8399047851562,1022.0375366210938,987.6096801757812,1018.4609375,91461975,RELIANCE_NS
2021-06-25,953.1431274414062,971.2033081054688,993.8399047851562,960.4273071289062,993.8399047851562,55355022,RELIANCE_NS
